first_name,second_name,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,transfers_in,total_points,value_season
Allan,Marques Loureiro,Midfielder,MID,Everton,EVE,1.3,,1.0,,1.0,a,55,0,0,0,0.0
James,Rodríguez,Midfielder,MID,Everton,EVE,7.8,,1.0,,1.0,a,75,0,0,0,0.0
Abdoulaye,Doucouré,Midfielder,MID,Everton,EVE,2.1,,1.0,,1.0,a,55,3156,0,113,20.5
Fabricio,Agosto Ramírez,Goalkeeper,GKP,Fulham,FUL,2.1,,1.0,,1.0,a,40,0,0,0,0.0
Kevin,McDonald,Midfielder,MID,Fulham,FUL,0.1,,1.0,,1.0,a,50,0,0,0,0.0
Maxime,Le Marchand,Defender,DEF,Fulham,FUL,0.2,,1.0,,1.0,a,45,0,0,0,0.0
Stefan,Johansen,Midfielder,MID,Fulham,FUL,0.1,,1.0,,1.0,a,50,0,0,0,0.0
Tom,Cairney,Midfielder,MID,Fulham,FUL,0.4,,1.0,,1.0,a,55,0,0,0,0.0
Tim,Ream,Defender,DEF,Fulham,FUL,0.2,,1.0,,1.0,a,45,0,0,0,0.0
Anthony,Knockaert,Midfielder,MID,Fulham,FUL,0.2,,1.0,,1.0,a,55,0,0,0,0.0
Michael,Hector,Defender,DEF,Fulham,FUL,0.4,,1.0,,1.0,a,45,0,0,0,0.0
Cyrus,Christie,Defender,DEF,Fulham,FUL,0.2,,1.0,,1.0,a,45,0,0,0,0.0
Neeskens,Kebano,Midfielder,MID,Fulham,FUL,0.2,,1.0,,1.0,a,50,0,0,0,0.0
Bobby,Decordova-Reid,Forward,FWD,Fulham,FUL,0.2,,1.0,,1.0,a,55,0,0,0,0.0
Joe,Bryan,Defender,DEF,Fulham,FUL,1.1,,1.0,,1.0,a,50,0,0,0,0.0
Marcus,Bettinelli,Goalkeeper,GKP,Fulham,FUL,0.2,,1.0,0.0,0.0,n,45,0,0,0,0.0
Aleksandar,Mitrović,Forward,FWD,Fulham,FUL,25.5,,1.0,,1.0,a,60,0,0,0,0.0
Alfie,Mawson,Defender,DEF,Fulham,FUL,0.0,,1.0,0.0,0.0,n,45,0,0,0,0.0
Marek,Rodák,Goalkeeper,GKP,Fulham,FUL,0.5,,1.0,,1.0,a,45,0,0,0,0.0
Ivan Ricardo,Neves Abreu Cavaleiro,Midfielder,MID,Fulham,FUL,0.1,,1.0,,1.0,a,55,0,0,0,0.0
Josh,Onomah,Midfielder,MID,Fulham,FUL,0.2,,1.0,,1.0,a,50,0,0,0,0.0
Jean Michaël,Seri,Midfielder,MID,Fulham,FUL,0.2,,1.0,,1.0,a,50,0,0,0,0.0
Aboubakar,Kamara,Midfielder,MID,Fulham,FUL,0.1,,1.0,,1.0,a,50,0,0,0,0.0
André-Frank,Zambo Anguissa,Midfielder,MID,Fulham,FUL,1.0,,1.0,,1.0,a,45,0,0,0,0.0
Zeze Steven,Sessegnon,Defender,DEF,Fulham,FUL,0.3,,1.0,0.0,0.0,n,45,0,0,0,0.0
Harrison,Reed,Midfielder,MID,Fulham,FUL,1.0,,1.0,,1.0,a,45,0,0,0,0.0
Antonee,Robinson,Defender,DEF,Fulham,FUL,0.2,,1.0,,1.0,a,45,0,0,0,0.0
Mario,Lemina,Midfielder,MID,Fulham,FUL,1.3,,1.0,,1.0,a,45,0,0,0,0.0
Alphonse,Areola,Goalkeeper,GKP,Fulham,FUL,0.7,,1.0,,1.0,a,45,0,0,0,0.0
Kenny,Tete,Defender,DEF,Fulham,FUL,0.1,,1.0,,1.0,a,45,0,0,0,0.0
Wes,Morgan,Defender,DEF,Leicester,LEI,0.1,,1.0,75.0,0.75,d,45,430,0,19,4.2
Kasper,Schmeichel,Goalkeeper,GKP,Leicester,LEI,14.2,,1.0,,1.0,a,55,3420,0,156,28.4
Christian,Fuchs,Defender,DEF,Leicester,LEI,0.0,,1.0,50.0,0.5,d,45,770,0,26,5.8
Jonny,Evans,Defender,DEF,Leicester,LEI,0.1,,1.0,0.0,0.0,s,55,3384,0,128,23.3
Adrien,Silva,Midfielder,MID,Leicester,LEI,0.7,,1.0,,1.0,a,45,0,0,0,0.0
Marc,Albrighton,Midfielder,MID,Leicester,LEI,0.2,,1.0,,1.0,a,55,857,0,38,6.9
Matty,James,Midfielder,MID,Leicester,LEI,0.5,,1.0,,1.0,a,45,5,0,1,0.2
Danny,Ward,Goalkeeper,GKP,Leicester,LEI,0.2,,1.0,,1.0,a,45,0,0,0,0.0
Jamie,Vardy,Forward,FWD,Leicester,LEI,17.9,,1.0,,1.0,a,100,3032,0,210,21.0
Dennis,Praet,Midfielder,MID,Leicester,LEI,0.1,,1.0,,1.0,a,55,1122,0,54,9.8
Ricardo Domingos,Barbosa Pereira,Defender,DEF,Leicester,LEI,0.2,,1.0,0.0,0.0,i,60,2520,0,123,20.5
Daniel,Amartey,Defender,DEF,Leicester,LEI,1.4,,1.0,100.0,1.0,a,40,0,0,0,0.0
Youri,Tielemans,Midfielder,MID,Leicester,LEI,2.2,,1.0,,1.0,a,65,2823,0,117,18.0
Ayoze,Pérez,Midfielder,MID,Leicester,LEI,3.7,,1.0,,1.0,a,65,1998,0,129,19.8
Demarai,Gray,Midfielder,MID,Leicester,LEI,0.2,,1.0,,1.0,a,55,605,0,44,8.0
James,Maddison,Midfielder,MID,Leicester,LEI,1.8,,1.0,50.0,0.5,d,70,2624,0,125,17.9
Kelechi,Iheanacho,Forward,FWD,Leicester,LEI,0.7,,1.0,,1.0,a,60,953,0,64,10.7
Hamza,Choudhury,Midfielder,MID,Leicester,LEI,0.1,,1.0,,1.0,a,50,883,0,35,7.0
Harvey,Barnes,Midfielder,MID,Leicester,LEI,4.4,,1.0,,1.0,a,70,2075,0,133,19.0
Wilfred,Ndidi,Midfielder,MID,Leicester,LEI,2.2,,1.0,,1.0,a,50,2671,0,85,17.0
